freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience, hourly_rate (USD) ,rating,is_active,client_satisfaction
FL250001,Ms. Nicole Kidd,Female,52,Italy,Italian,Blockchain Development,11, $100.00 ,NA,No,NA
FL250002,Vanessa Garcia,Female,52,Australia,English,Mobile Apps,34, $100.00 ,3.3,Yes,84%
FL250003,Juan Nelson,Male,53,Germany,German,Graphic Design,31, $50.00 ,0.0,No,71%
FL250004,Amanda Spencer,Female,38,Australia,English,Web Development,4, $40.00 ,1.5,No,90%
FL250005,Lynn Curtis Dds,Female,53,Germany,German,Web Development,27, $30.00 ,4.8,No,83%
FL250006,Lisa Johnson,Female,59,Netherlands,Dutch,Artificial Intelligence,14, $30.00 ,2.4,No,NA
FL250007,Eric Myers,Male,52,Indonesia,Indonesian,Data Analysis,10, $75.00 ,3.1,No,94%
FL250008,Ricky Graham,Male,43,Italy,Italian,Blockchain Development,14, $40.00 ,4.6,No,94%
FL250009,Sean Martin,Male,26,United States,English,Blockchain Development,4, NA ,4.0,Yes,76%
FL250010,Matthew Lloyd,Male,52,Turkey,Turkish,Artificial Intelligence,22, $50.00 ,NA,Yes,NA
FL250011,Gavin Randall,Male,40,United Kingdom,English,Data Analysis,17, $40.00 ,3.6,Yes,77%
FL250012,Michelle Curtis,Female,55,Argentina,Spanish,UI/UX Design,15, NA ,NA,Yes,86%
FL250013,Alice Schneider,Female,57,United Kingdom,English,Cybersecurity,18, NA ,2.0,No,86%
FL250014,Phillip Shelton,Male,38,Argentina,Spanish,Graphic Design,20, $75.00 ,2.9,Yes,93%
FL250015,Edward Ferguson,Male,50,Germany,German,Data Analysis,22, $75.00 ,3.7,Yes,70%
FL250016,Wyatt Stout,Male,42,Japan,Japanese,Data Analysis,0, $30.00 ,1.2,No,69%
FL250017,Laura Johnson,Female,39,Australia,English,DevOps,13, $30.00 ,2.5,No,60%
FL250018,Scott Burns,Male,56,India,Hindi,Blockchain Development,0, NA ,NA,No,87%
FL250019,Tyler Aguirre,Male,56,United States,English,UI/UX Design,31, $50.00 ,1.1,No,75%
FL250020,Matthew Lawson,Male,57,Italy,Italian,Web Development,3, $100.00 ,1.8,Yes,68%
FL250021,James Cherry,Male,41,Indonesia,Indonesian,Artificial Intelligence,9, $50.00 ,1.8,No,65%
